source,mode,n_img,c,c_raw,cos_lin,g_r,kappa_eff,a,b,rho,gcr,crossover,tau_star,V_over_m,norm_ratio,bias_disp,res_draw,res_mean
DenseNet121_Standard,resize,370,0.6518059190866109,0.6418545923523,0.6810525000095368,1.064742294559637,0.0523367202280401,1.0015135505084216,0.046591526068202375,1.6932559870442672,0.6287022084753788,yes,0.3961155156201126,1.2449159520586521,0.8246620249094747,0.8373416635603148,0.8730104725662571,0.9216963498312524
DenseNet121_Standard,translation,370,0.4073754225631018,0.37272838930020463,0.005890416680690447,0.573644957949732,0.16992642992654636,1.0928637798329417,0.13898015073460648,1.6932559870442672,0.6287022084753788,yes,0.02827869495921338,4.0419828061483445,0.6053064943932454,0.9746433841536085,1.2532682551472725,2.9814148175561277
Engstrom2019Robustness_ImageNet,di09,325,0.5155178547822512,0.5108728196873115,0.4665217316379914,0.5701675635647763,1.3843323169551867,1.0633995688791957,0.06293610527029843,37.30314543127135,0.9738924835352143,yes,0.20272859600226598,0.012958200491506098,0.7456561748368559,0.9248436070835732,1.097483223867006,2.4409668599412333
Engstrom2019Robustness_ImageNet,full_di,325,0.4522438112474405,0.44731913786094923,0.45949328288435937,0.6287198656719468,0.9878771000986659,1.041194698055248,0.03455979573419015,37.30314543127135,0.9738924835352143,yes,0.16884440295634776,0.009247136231134122,0.7830075625524365,1.0081171324165636,1.0748233403871352,2.6999916628260303
Engstrom2019Robustness_ImageNet,resize,325,0.7686986000721271,0.7628944319945116,0.8514629241136404,0.6292485681536246,0.26046563130925937,1.0103464362672376,0.027976609282971847,37.30314543127135,0.9738924835352143,yes,0.5730234306951004,0.002438118239611501,0.7833367163379026,0.6800209909639813,0.6183697815687557,0.6807729090452168
Engstrom2019Robustness_ImageNet,translation,325,0.5108849144211183,0.5074111290276051,0.06818600129049554,0.5313224238850691,1.8209079939632684,1.0883150542506268,0.13269499491836637,37.30314543127135,0.9738924835352143,yes,0.13426716989842435,0.01704481689357689,0.7198076165385744,0.8791999570476656,1.2813100936340756,3.1589072743611015
InceptionV3,di09,380,0.40674786228490506,0.38385641258209946,0.21896918723972417,1.4855166786584302,0.43384188046448807,1.053840561802282,0.1267580053740991,3.0699864719548,0.7542989376277451,yes,0.04172855786251417,7.299742798902526,1.0650081763868728,1.2321556844285757,1.0758055803036464,4.6676626959323855
InceptionV3,full_di,380,0.30834289619601085,0.28310476608182256,0.16462216534357713,1.3573275787819223,0.37746669534062355,1.0558324838215163,0.10669053266545145,3.0699864719548,0.7542989376277451,no,,6.351184418129943,1.0180204743225305,1.2422136046572632,1.0691638033161204,4.678735117401084
InceptionV3,resize,380,0.6152044271364023,0.5915661259701378,0.6195549424051454,1.437321126418394,0.16629448548295775,1.0180479620472171,0.06029051768587923,3.0699864719548,0.7542989376277451,yes,0.33221978211250125,2.7980400868670516,1.0475893639451501,0.9947876568116791,0.9072298029373654,1.1815716927734636
InceptionV3,translation,380,0.3889671110401028,0.36012682365743737,0.0012221505251210688,0.9217189490237669,0.3834068260915586,1.1070176112359722,0.08742672471712551,3.0699864719548,0.7542989376277451,yes,0.06264148650035777,6.45113195345607,0.8389062575151175,1.0701966804015728,1.1746137168518893,3.944340161795999
Mo2022When_ViT-B,di09,350,0.824030818258013,0.8240264063222068,0.6677667615243367,0.850497967063375,134.53159368832536,1.0243214365347755,0.04378535395454277,6501.918953749483,0.9998462229028053,yes,0.6478511569026824,0.0030384364998335333,0.9223925791835617,0.587551302871601,1.0383143175565774,1.588432981764354
Mo2022When_ViT-B,full_di,350,0.796164813722883,0.7961570639269693,0.6553827403272902,0.9289878403551673,123.67882945626292,1.0204709059523134,0.03271158590057125,6501.918953749483,0.9998462229028053,yes,0.60861670703176,0.002793323556005767,0.9640158514748544,0.6751122309641397,1.0276902716213363,1.728756361827296
